SERIAL_NUMBER,LIST_YEAR,DATE_RECORDED,TOWN,ADDRESS,ASSESSED_VALUE,SALE_AMOUNT,SALES_RATIO,PROPERTY_TYPE,RESIDENTIAL_TYPE,NON_USE_CODE,ASSESSOR_REMARKS,OPM_REMARKS,LOCATION,CREATED_AT
41224,2004,2005-07-06,Meriden,121 DEER RUN RD,79030.0,222000.0,0.355990991,,,,,,,2023-06-09 14:59:11.729205
40574,2004,2005-08-03,Farmington,19 CASE ST,44520.0,311100.0,0.143105111,,,7,,,,2023-06-09 15:30:16.709917
42499,2004,2005-07-19,Waterbury,183 BETH LN,72240.0,165000.0,0.437818182,,,,,,POINT (-72.99254 41.56017),2023-06-09 15:11:16.848419
42901,2004,2005-07-20,Bridgeport,1218 26 STATE ST,276850.0,800000.0,0.3460625,,,,,,,2023-06-09 15:13:12.007931
40035,2004,2005-07-18,Chaplin,315 N BEAR HL RD,133600.0,239900.0,0.556898708,,,,,,,2023-06-09 15:09:16.693684
40111,2004,2005-07-22,Sterling,207 GIBSON HL RD,0.0,227000.0,0.0,,,7,,,,2023-06-09 15:16:16.834164
40285,2004,2005-08-04,Putnam,76 RIVER JCT,0.0,140000.0,0.0,,,7,,,,2023-06-09 15:31:11.867138
40562,2004,2005-07-07,Groton,LAMBTOWN RD,0.0,340000.0,0.0,,,25,,,,2023-06-09 15:01:16.702198
40236,2004,2005-08-05,Derby,1 HAWTHORNE PL,54250.0,165000.0,0.328787879,,,,,,,2023-06-09 15:34:12.013441
42493,2004,2005-07-27,Stamford,54 W NORTH ST,3178840.0,195000.0,16.30174359,,,25,,,POINT (-73.5489 41.05871),2023-06-09 15:19:16.851789
40401,2004,2005-08-15,Monroe,56 NICKLE PLACE,389900.0,819900.0,0.475545798,,,,,,,2023-06-09 15:40:11.705161
40677,2004,2005-07-20,Glastonbury,222 WILLIAMS ST E 320,39900.0,92000.0,0.433695652,,,,,,,2023-06-09 15:13:12.007931
40374,2004,2005-07-18,Montville,11 FIELDING TER,74260.0,252000.0,0.29468254,,,,,,,2023-06-09 15:10:16.740441
41104,2004,2005-08-10,West Hartford,26 BARTON ST,115560.0,246500.0,0.468803245,,,,,,,2023-06-09 15:37:16.718357
40838,2004,2005-07-05,Manchester,294A GREEN RD,53500.0,106000.0,0.504716981,,,,,,,2023-06-09 14:58:16.755857
40571,2004,2005-07-29,Newington,45 ROBIN BRK DR,66430.0,174900.0,0.379817038,,,,,,,2023-06-09 15:24:16.721000
40504,2004,2005-08-08,Wethersfield,23 HIGHVIEW AVE,106200.0,225000.0,0.472,,,,,,POINT (-72.66959 41.71687),2023-06-09 15:34:12.013441
40203,2004,2005-08-15,Lebanon,1742 EXETER RD,427200.0,37495.0,11.39351914,,,26,,,,2023-06-09 15:41:11.727517
41078,2004,2005-07-07,Greenwich,35 CHURCH ST,254800.0,261000.0,0.976245211,,,25,,,,2023-06-09 15:00:16.725052
41200,2004,2005-06-30,Meriden,168 LAMBERT AVE,106750.0,277000.0,0.385379061,,,,,,,2023-06-09 14:52:56.443116
42414,2004,2005-07-19,Stamford,44 STRAWBERRY HL AVE 8J,111510.0,378500.0,0.294610304,,,,,,,2023-06-09 15:11:16.848419
40518,2004,2005-07-07,East Haven,23 VICTOR ST,64820.0,205000.0,0.316195122,,,,,,,2023-06-09 15:00:16.725052
41157,2004,2005-07-29,Fairfield,990 S PINE CRK RD,326130.0,785000.0,0.415452229,,,,,,POINT (-73.26835 41.12711),2023-06-09 15:22:16.839850
40365,2004,2005-07-28,Cromwell,19 SHAWNEE CT,98040.0,160000.0,0.61275,,,,,,,2023-06-09 15:20:11.681819
40752,2004,2005-08-05,Enfield,2 GLEN ARDEN LN,76440.0,204900.0,0.373060029,,,,,,,2023-06-09 15:33:11.789050
40974,2004,2005-08-01,Manchester,78 G CLIFFSIDE DR,75100.0,185000.0,0.405945946,,,,,,,2023-06-09 15:25:11.704556
40412,2004,2005-07-29,Seymour,1 GREAT MDW RD,195020.0,275000.0,0.709163636,,,1,,,,2023-06-09 15:22:16.839850
41819,2004,2005-07-14,New Haven,1 FRANCES HUNTER DR,97650.0,203900.0,0.478911231,,,,,,,2023-06-09 15:07:16.720011
40180,2004,2005-07-12,Hebron,70 LOVELAND RD,18091.0,94500.0,0.191439153,,,6,,,,2023-06-09 15:04:16.784212
40400,2004,2005-08-09,Bethel,2 JUDD AVE,298040.0,7500.0,39.73866667,,,19,,,,2023-06-09 15:35:11.709436
40907,2004,2005-07-12,Norwich,73 SUNNYSIDE E RD,0.0,159900.0,0.0,,,25,,,,2023-06-09 15:04:16.784212
41732,2004,2005-07-29,Danbury,28 HOMESTEAD AVE,129700.0,250000.0,0.5188,,,25,,,,2023-06-09 15:23:16.842191
40566,2004,2005-08-01,Farmington,10 PAPER CHASE DR,194310.0,395000.0,0.491924051,,,,,,,2023-06-09 15:24:16.721000
40584,2004,2005-07-07,Norwich,43 LORNADALE DR,124000.0,18140.0,6.835722161,,,8,,,,2023-06-09 15:01:16.702198
41987,2004,2005-08-02,New Haven,635 FERRY ST,78540.0,230000.0,0.341478261,,,,,,,2023-06-09 15:29:16.935029
40177,2004,2005-07-12,Orange,290 OAK VW DR,143700.0,250000.0,0.5748,,,,,,,2023-06-09 15:04:16.784212
41168,2004,2005-08-01,Greenwich,60 LONDONDERRY DR,1159340.0,2650000.0,0.437486792,,,,,,,2023-06-09 15:27:16.688004
40532,2004,2005-07-15,South Windsor,30 BEECHWOOD LN,224360.0,419900.0,0.534317695,,,,,,,2023-06-09 15:08:11.746737
42387,2004,2005-07-15,Stamford,15 REVONAH CIR,367710.0,985000.0,0.373309645,,,,,,,2023-06-09 15:08:11.746737
42818,2004,2005-07-11,Bridgeport,175 7 DENVER AVE,112420.0,65000.0,1.729538462,,,8,,,,2023-06-09 15:04:16.784212
40458,2004,2005-07-22,Cheshire,40 NOB HL RD,252420.0,424950.0,0.593999294,,,,,,,2023-06-09 15:15:11.820529
40866,2004,2005-07-29,Wallingford,123 N ORCHARD ST,78200.0,200000.0,0.391,,,,,,,2023-06-09 15:23:16.842191
40348,2004,2005-07-08,Monroe,410 HATTERTOWN RD,145180.0,347000.0,0.418386167,,,,,,,2023-06-09 15:02:11.704908
40289,2004,2005-08-05,Granby,112 NOTCH RD,83720.0,157819.0,0.530481121,,,7,,,,2023-06-09 15:34:12.013441
40529,2004,2005-07-22,Southbury,72 WOLFPIT RD,302200.0,535000.0,0.564859813,,,,,,,2023-06-09 15:15:11.820529
41155,2004,2005-07-29,Fairfield,110 SKY TOP TER,328650.0,740000.0,0.444121622,,,,,,,2023-06-09 15:24:16.721000
41122,2004,2005-07-21,Greenwich,10 REX ST,206360.0,643000.0,0.320933126,,,,,,,2023-06-09 15:14:11.664587
41932,2004,2005-08-02,Norwalk,40 HOWARD AVE,200900.0,349900.0,0.574164047,,,,,,,2023-06-09 15:28:16.713768
40281,2004,2005-08-01,Putnam,35 MARKET ST,66100.0,136000.0,0.486029412,,,,,,,2023-06-09 15:26:11.767496
40272,2004,2005-07-07,Stafford,8 SOUTH RD,1708970.0,6000.0,284.8283333,,,8,,,,2023-06-09 15:00:16.725052
40183,2004,2005-07-01,Lebanon,238 LAKESIDE DR,71870.0,55000.0,1.306727273,,,25,,,POINT (-72.22933 41.55035),2023-06-09 14:55:11.714441
40466,2004,2005-07-20,Avon,27 KING RICHARDS CT,452700.0,770000.0,0.587922078,,,,,,POINT (-72.89255 41.77416),2023-06-09 15:12:16.759543
41306,2004,2005-07-26,New Britain,100 BLODGETT ROY DR,82880.0,176000.0,0.470909091,,,,,,,2023-06-09 15:18:16.806490
40775,2004,2005-07-25,New Milford,28 MIST HL DR,135240.0,265200.0,0.509954751,,,,,,,2023-06-09 15:17:16.778949
41563,2004,2005-07-15,Hartford,21-23 E RAYMOND ST,51940.0,225000.0,0.230844444,,,,,,,2023-06-09 15:07:16.720011
42603,2004,2005-07-15,Waterbury,54 BRADLEY AVE,62160.0,100000.0,0.6216,,,,,,,2023-06-09 15:08:11.746737
40654,2004,2005-08-01,Groton,24 SWAN LN,177870.0,361000.0,0.492714681,,,,,,,2023-06-09 15:27:16.688004
40373,2004,2005-06-30,Waterford,1 GALLUP LN,98410.0,227500.0,0.432571429,,,,,,,2023-06-09 14:52:56.443116
48789,2004,2005-07-08,Hamden,39 WEBB ST,78330.0,239900.0,0.326511046,,,,,,,2023-06-09 15:02:11.704908
42656,2004,2005-07-29,Stamford,15 HILLHURST ST,133840.0,700000.0,0.1912,,,,,,POINT (-73.55134 41.05277),2023-06-09 15:23:16.842191
40296,2004,2005-07-01,Wilton,46 DUCK POND PL,812910.0,1490000.0,0.545577181,,,,,,POINT (-73.40921 41.20621),2023-06-09 14:54:16.661736
40898,2004,2005-07-19,Manchester,39 NILES DR,89000.0,205000.0,0.434146341,,,,,,,2023-06-09 15:12:16.759543
40443,2004,2005-08-03,Watertown,41 COTTAGE PL,115700.0,258900.0,0.446890691,,,,,,,2023-06-09 15:30:16.709917
42315,2004,2005-07-17,Stamford,37 GREENWICH AVE 3-5E,64820.0,267500.0,0.242317757,,,,,,,2023-06-09 15:09:16.693684
41269,2004,2005-07-15,Meriden,38 ORANGE ST,56980.0,113500.0,0.502026432,,,,,,,2023-06-09 15:07:16.720011
41225,2004,2005-08-10,Fairfield,421 TOWNEHOUSE RD,488390.0,799900.0,0.61056382,,,,,,,2023-06-09 15:37:16.718357
41981,2004,2005-08-05,Norwalk,12 RIDGEWOOD RD,741370.0,1495000.0,0.495899666,,,,,,,2023-06-09 15:33:11.789050
40189,2004,2005-07-27,Hebron,763 EAST ST,82530.0,215000.0,0.383860465,,,,,,,2023-06-09 15:19:16.851789
41757,2004,2005-07-05,New Haven,215 FIRST ST,75880.0,135000.0,0.562074074,,,,,,,2023-06-09 14:58:16.755857
40474,2004,2005-07-29,Cheshire,134 SOUTHWICK CT,140410.0,249500.0,0.562765531,,,7,,,,2023-06-09 15:23:16.842191
40632,2004,2005-08-01,Windsor,67 WOODLAND ST,91910.0,174900.0,0.525500286,,,,,,,2023-06-09 15:27:16.688004
40637,2004,2005-08-01,Windsor,106 BROOK LN,7600.0,268000.0,0.028358209,,,7,,,POINT (-72.68347 41.83614),2023-06-09 15:27:16.688004
40325,2004,2005-07-22,Berlin,30 TIMBERWOOD RD,129900.0,300000.0,0.433,,,,,,,2023-06-09 15:15:11.820529
41869,2004,2005-06-30,Southington,166 HART ST,132510.0,315900.0,0.419468186,,,,,,,2023-06-09 14:53:16.865376
40447,2004,2005-08-05,Watertown,774 STRAITS TPKE,440400.0,1150000.0,0.382956522,,,,,,,2023-06-09 15:33:11.789050
40470,2004,2005-07-05,New London,44 BERKELEY AVE,143010.0,270000.0,0.529666667,,,,,,,2023-06-09 14:57:11.729739
40328,2004,2005-08-08,Ellington,WEST RD REAR,61180.0,33300.0,1.837237237,,,6,,,,2023-06-09 15:34:12.013441
40758,2004,2005-08-08,Enfield,49 ROOSEVELT BLVD,72940.0,142158.0,0.513091068,,,11,,,,2023-06-09 15:34:12.013441
41787,2004,2005-07-08,New Haven,74 SHELTON AVE,59220.0,275000.0,0.215345455,,,,,,,2023-06-09 15:01:16.702198
40355,2004,2005-07-29,Rocky Hill,204 REDSTONE CIR,114060.0,210000.0,0.543142857,,,,,,,2023-06-09 15:23:16.842191
40398,2004,2005-08-09,East Hampton,W HIGH ST,27760.0,83000.0,0.334457831,,,,,,,2023-06-09 15:36:16.702228
40706,2004,2005-06-30,New Milford,75 UPLAND RD,170100.0,400000.0,0.42525,,,,,,POINT (-73.37959 41.64101),2023-06-09 14:52:56.443116
40551,2004,2005-07-25,East Haven,364 MAIN ST 42,18200.0,79000.0,0.230379747,,,,,,POINT (-72.87551 41.2799),2023-06-09 15:16:16.834164
40458,2004,2005-07-12,Wethersfield,64-66 PARK AVE,135600.0,260000.0,0.521538462,,,,,,,2023-06-09 15:04:16.784212
41987,2004,2005-08-04,Southington,HIGHLAND HL UT 16,4515.0,329315.0,0.013710277,,,7,,,,2023-06-09 15:32:11.707834
43411,2004,2005-07-22,Waterbury,218 SOUTHMAYD RD,77490.0,180000.0,0.4305,,,,,,,2023-06-09 15:15:11.820529
40309,2004,2005-08-03,Wolcott,89 CHASSE RD,78610.0,200000.0,0.39305,,,,,,,2023-06-09 15:30:16.709917
42506,2004,2005-07-20,Waterbury,7 MAYBURY CIR UT 3,19390.0,80000.0,0.242375,,,,,,,2023-06-09 15:13:12.007931
40297,2004,2005-07-29,East Windsor,6 JUNIPER CT,0.0,85000.0,0.0,,,7,,,POINT (-72.5211 41.92609),2023-06-09 15:24:16.721000
40350,2004,2005-08-03,Wilton,49 POWDER HORN HL,997290.0,2050000.0,0.486482927,,,,,,,2023-06-09 15:31:11.867138
40426,2004,2005-07-01,Cheshire,590 WIESE RD,201890.0,372000.0,0.542715054,,,,,,,2023-06-09 14:54:16.661736
41652,2004,2005-08-01,Hartford,39-41 COLONIAL ST,82670.0,269900.0,0.306298629,,,,,,POINT (-72.68525 41.74834),2023-06-09 15:26:11.767496
40606,2004,2005-07-25,Windsor,31 BELLFLOWER ST,75110.0,143900.0,0.521959694,,,,,,,2023-06-09 15:17:16.778949
40657,2004,2005-08-02,Groton,31 PACKER LN,199570.0,480000.0,0.415770833,,,,,,,2023-06-09 15:29:16.935029
42937,2004,2005-07-22,Bridgeport,157 FAIRVIEW AVE,128591.0,249900.0,0.514569828,,,,,,,2023-06-09 15:15:11.820529
40556,2004,2005-07-15,Newtown,48 JO AL CT,30650.0,496233.0,0.06176534,,,7,,,,2023-06-09 15:07:16.720011
40735,2004,2005-07-11,New Milford,95 BEL AIR,24780.0,75900.0,0.326482213,,,,,,,2023-06-09 15:03:11.793148
40651,2004,2005-07-01,Naugatuck,72 CELENTANO DR,111060.0,215000.0,0.51655814,,,,,,POINT (-73.03579 41.48118),2023-06-09 14:55:11.714441
41137,2004,2005-08-15,West Hartford,145 ARDMORE RD,113990.0,157500.0,0.723746032,,,8,,,POINT (-72.7334 41.76914),2023-06-09 15:40:11.705161
40415,2004,2005-07-29,Killingly,341 SNAKE MDW RD,117660.0,298000.0,0.394832215,,,,,,,2023-06-09 15:23:16.842191
40426,2004,2005-07-26,Watertown,166 ICE HOUSE RD,0.0,358079.0,0.0,,,7,,,,2023-06-09 15:18:16.806490
42391,2004,2005-07-15,Stamford,91 STRAWBERRY HL AVE 122,47810.0,210000.0,0.227666667,,,,,,POINT (-73.533 41.06417),2023-06-09 15:07:16.720011
40488,2004,2005-07-06,Southbury,279 HIGH RDG RD,333110.0,565000.0,0.589575221,,,,,,POINT (-73.25926 41.50665),2023-06-09 14:59:11.729205
41522,2004,2005-07-08,Hartford,22-24 WESTLAND ST,52360.0,205000.0,0.255414634,,,,,,,2023-06-09 15:01:16.702198
42766,2004,2005-07-05,Bridgeport,473 LAUREL AVE,162610.0,157500.0,1.032444444,,,25,,,,2023-06-09 14:57:11.729739
40316,2004,2005-08-09,Old Saybrook,126 INGHAM HL RD,168200.0,295000.0,0.570169492,,,,,,,2023-06-09 15:35:11.709436
40433,2004,2005-08-03,Oxford,4 LITTLE VLY RD,60060.0,185000.0,0.324648649,,,,,,,2023-06-09 15:31:11.867138
40011,2004,2005-07-26,Union,31 WEBSTER RD,183820.0,290000.0,0.633862069,,,,,,,2023-06-09 15:17:16.778949
40427,2004,2005-07-26,Guilford,1451 JENNIFERS DR,88240.0,667100.0,0.132274022,,,7,,,,2023-06-09 15:18:16.806490
40507,2004,2005-07-05,Farmington,24 SUNSET TER,135680.0,225000.0,0.603022222,,,,,,,2023-06-09 14:57:11.729739
41121,2004,2005-08-12,West Hartford,237 FERN ST,532040.0,249900.0,2.129011605,,,7,,,,2023-06-09 15:38:16.691129
40932,2004,2005-07-20,West Haven,255 BEACH ST,108710.0,375000.0,0.289893333,,,,,,,2023-06-09 15:13:12.007931
40875,2004,2005-07-25,East Hartford,150 HILLS ST,90650.0,204900.0,0.442410932,,,,,,,2023-06-09 15:16:16.834164
40401,2004,2005-07-11,Watertown,46 WINTHROP ST,121000.0,185500.0,0.652291105,,,,,,,2023-06-09 15:03:11.793148
40391,2004,2005-07-28,New Canaan,117 SUMMER ST,451500.0,875000.0,0.516,,,,,,,2023-06-09 15:21:11.802916
40673,2004,2005-08-08,Trumbull,6112 MAIN ST,246290.0,632300.0,0.389514471,,,7,,,,2023-06-09 15:35:11.709436
40854,2004,2005-08-16,Westport,414 RIVERSIDE AVE,349100.0,1080000.0,0.323240741,,,3,,,POINT (-73.37134 41.12655),2023-06-09 15:41:11.727517
41788,2004,2005-08-04,Danbury,73 BOULEVARD DR 5,12600.0,657732.0,0.019156739,,,7,,,,2023-06-09 15:32:11.707834
40716,2004,2005-07-29,Enfield,8 COOPER ST,126490.0,280000.0,0.45175,,,,,,,2023-06-09 15:22:16.839850
40923,2004,2005-07-18,West Haven,569 WASHINGTON AVE,79380.0,325000.0,0.244246154,,,,,,,2023-06-09 15:09:16.693684
40359,2004,2005-07-29,Ledyard,81 MEETINGHOUSE LN,82810.0,226000.0,0.366415929,,,,,,,2023-06-09 15:22:16.839850
40439,2004,2005-07-12,Stonington,57 GRISWOLD ST,78100.0,155000.0,0.503870968,,,,,,,2023-06-09 15:04:16.784212
41360,2004,2005-08-02,Meriden,166 SPRINGDALE AVE,73080.0,195000.0,0.374769231,,,1,,,,2023-06-09 15:29:16.935029
41591,2004,2005-07-11,Danbury,23 FRANKLIN ST,99400.0,237000.0,0.419409283,,,,,,,2023-06-09 15:02:11.704908
40453,2004,2005-07-26,Wethersfield,97 MT LAUREL DR,56100.0,98000.0,0.57244898,,,,,,,2023-06-09 15:18:16.806490
40118,2004,2005-07-14,Easton,718 SPORT HL RD,276650.0,508000.0,0.544586614,,,,,,,2023-06-09 15:06:16.712913
41143,2004,2005-07-29,Fairfield,1380 OLD ACADEMY RD,876330.0,2351000.0,0.372747767,,,,,,,2023-06-09 15:22:16.839850
40874,2004,2005-07-29,Wallingford,9A PILGRIMS HBR,100300.0,180000.0,0.557222222,,,,,,,2023-06-09 15:23:16.842191
40746,2004,2005-07-14,New Milford,19 NUTMEG DR,122570.0,315000.0,0.389111111,,,,,,,2023-06-09 15:06:16.712913
40305,2004,2005-07-05,Seymour,11 CHADEN RD,255360.0,472500.0,0.540444444,,,,,,,2023-06-09 14:58:16.755857
42728,2004,2005-07-01,Bridgeport,115 SAILORS LN,373870.0,685000.0,0.54579562,,,,,,,2023-06-09 14:53:16.865376
40443,2004,2005-08-16,Killingly,509 BAILEY HL RD,115420.0,279000.0,0.413691756,,,,,,,2023-06-09 15:41:11.727517
40690,2004,2005-08-05,Trumbull,159 PLATTSVILLE RD,169680.0,480000.0,0.3535,,,,,,,2023-06-09 15:33:11.789050
40065,2004,2005-08-03,Chester,16 GILBERT HL RD,192300.0,599000.0,0.321035058,,,7,,,,2023-06-09 15:31:11.867138
41221,2004,2005-08-10,Fairfield,78 ROCKLAND RD,220570.0,551443.0,0.399986943,,,,,,,2023-06-09 15:36:16.702228
42770,2004,2005-07-05,Bridgeport,47 LENOX AVE,108221.0,228660.0,0.473283478,,,,,,POINT (-73.21382 41.17096),2023-06-09 14:58:16.755857
49985,2004,2005-07-22,West Hartford,25 BOSWELL RD,89950.0,230000.0,0.391086957,,,,,,,2023-06-09 15:15:11.820529
40362,2004,2005-08-10,Wilton,21 TRAILS END RD,2352280.0,3500000.0,0.67208,,,,,,,2023-06-09 15:37:16.718357
40601,2004,2005-07-05,Trumbull,189 PALAMINO PASS,171360.0,460000.0,0.372521739,,,,,,,2023-06-09 14:58:16.755857
41237,2004,2005-08-15,Fairfield,74 MIDDLEBROOK DR,260680.0,600000.0,0.434466667,,,,,,,2023-06-09 15:40:11.705161
40501,2004,2005-07-25,New London,292 PEQUOT AVE UT C1,85610.0,201000.0,0.425920398,,,,,,,2023-06-09 15:16:16.834164
40390,2004,2005-07-05,Watertown,59 CANNON RDG,98800.0,175000.0,0.564571429,,,,,,,2023-06-09 14:58:16.755857
40545,2004,2005-08-01,Ridgefield,188 NORTH ST,275790.0,575000.0,0.479634783,,,,,,,2023-06-09 15:25:11.704556
40130,2004,2005-07-01,Burlington,6 DEER AVE,107100.0,179900.0,0.595330739,,,,,,,2023-06-09 14:54:16.661736
42687,2004,2005-08-11,Waterbury,289 HILLSIDE AVE,17710.0,90000.0,0.196777778,,,,,,,2023-06-09 15:37:16.718357
42035,2004,2005-08-16,Southington,16 WOODRUFF,80710.0,210000.0,0.384333333,,,,,,POINT (-72.87275 41.59977),2023-06-09 15:41:11.727517
42670,2004,2005-08-08,Waterbury,55 WILDWOOD AVE,68110.0,220000.0,0.309590909,,,,,,,2023-06-09 15:35:11.709436
40307,2004,2005-07-18,Colchester,182 WATERHOLE RD,101079.0,329900.0,0.306392846,,,7,,,,2023-06-09 15:10:16.740441
40426,2004,2005-08-03,Killingly,32 WRIGHT RD,23270.0,96500.0,0.241139896,,,,,,POINT (-71.80602 41.78624),2023-06-09 15:31:11.867138
40948,2004,2005-07-26,Norwich,12 LYMAN HL RD,116000.0,232228.0,0.499509103,,,,,,,2023-06-09 15:18:16.806490
40996,2004,2005-08-03,Manchester,52 KAREN DR,72200.0,158900.0,0.45437382,,,,,,,2023-06-09 15:31:11.867138
40806,2004,2005-06-30,Middletown,506 CAMBRIDGE CMNS,92490.0,189900.0,0.487045814,,,,,,,2023-06-09 14:52:56.443116
41227,2004,2005-08-12,Fairfield,106 BLUE RDG RD,153160.0,380000.0,0.403052632,,,,,,,2023-06-09 15:39:11.845186
41956,2004,2005-07-29,Southington,GEORGETOWN 4G,67270.0,169900.0,0.395938788,,,,,,,2023-06-09 15:23:16.842191
40876,2004,2005-07-01,Norwich,607 BOSWELL AVE,43000.0,47000.0,0.914893617,,,,,,POINT (-72.05516 41.54218),2023-06-09 14:54:16.661736
40173,2004,2005-07-05,Orange,494 WHEELERS FARM RD,181300.0,430000.0,0.421627907,,,,,,,2023-06-09 14:57:11.729739
